CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1151198,DANÇA,5,52,5208707,2,1,0114D01,Dança formação de professor,01,Educação,2015,2018,5,2019,8,2022,26,13,2,0,0,50,7.692307692,42.30769231,7.692307692,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1151198,DANÇA,5,52,5208707,2,1,0114D01,Dança formação de professor,01,Educação,2015,2019,5,2019,8,2022,26,10,3,0,0,38.46153846,19.23076923,42.30769231,11.53846154,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1151198,DANÇA,5,52,5208707,2,1,0114D01,Dança formação de professor,01,Educação,2015,2020,5,2019,8,2022,26,7,2,1,0,26.92307692,26.92307692,46.15384615,7.692307692,3.846153846
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1151198,DANÇA,5,52,5208707,2,1,0114D01,Dança formação de professor,01,Educação,2015,2021,5,2019,8,2022,26,4,1,2,0,15.38461538,30.76923077,53.84615385,3.846153846,7.692307692
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1152529,GESTÃO DA INFORMAÇÃO,5,52,5208707,1,1,0322G01,Gestão da informação,03,"Ciências sociais, comunicação e informação",2015,2015,5,2019,8,2022,46,32,0,14,0,69.56521739,0,30.43478261,0,30.43478261
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1152529,GESTÃO DA INFORMAÇÃO,5,52,5208707,1,1,0322G01,Gestão da informação,03,"Ciências sociais, comunicação e informação",2015,2016,5,2019,8,2022,46,26,0,6,0,56.52173913,0,43.47826087,0,13.04347826
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1152529,GESTÃO DA INFORMAÇÃO,5,52,5208707,1,1,0322G01,Gestão da informação,03,"Ciências sociais, comunicação e informação",2015,2017,5,2019,8,2022,46,20,0,6,0,43.47826087,0,56.52173913,0,13.04347826
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1152529,GESTÃO DA INFORMAÇÃO,5,52,5208707,1,1,0322G01,Gestão da informação,03,"Ciências sociais, comunicação e informação",2015,2018,5,2019,8,2022,46,12,7,1,0,26.08695652,15.2173913,58.69565217,15.2173913,2.173913043
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1152529,GESTÃO DA INFORMAÇÃO,5,52,5208707,1,1,0322G01,Gestão da informação,03,"Ciências sociais, comunicação e informação",2015,2019,5,2019,8,2022,46,7,2,3,0,15.2173913,19.56521739,65.2173913,4.347826087,6.52173913
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1152529,GESTÃO DA INFORMAÇÃO,5,52,5208707,1,1,0322G01,Gestão da informação,03,"Ciências sociais, comunicação e informação",2015,2020,5,2019,8,2022,46,2,4,1,0,4.347826087,28.26086957,67.39130435,8.695652174,2.173913043
